"","plotID","trapID","collectDate","para_sciname","sp_abund","col_year","col_month","col_day","DOY","col_index","plot_trap","occ"
"1","NIWO_001","E",2015-07-14,"Acupalpus partiarius",0,2015,7,14,194,1,"NIWO_001E",0
"2","NIWO_001","E",2015-07-14,"Agonoleptus conjunctus",0,2015,7,14,194,1,"NIWO_001E",0
"3","NIWO_001","E",2015-07-14,"Agonum placidum",0,2015,7,14,194,1,"NIWO_001E",0
"4","NIWO_001","E",2015-07-14,"Amara (Celia) sp.",0,2015,7,14,194,1,"NIWO_001E",0
"5","NIWO_001","E",2015-07-14,"Amara (Curtonotus) sp.",0,2015,7,14,194,1,"NIWO_001E",0
"6","NIWO_001","E",2015-07-14,"Amara alpina",0,2015,7,14,194,1,"NIWO_001E",0
"7","NIWO_001","E",2015-07-14,"Amara apricaria",0,2015,7,14,194,1,"NIWO_001E",0
"8","NIWO_001","E",2015-07-14,"Amara convexa",0,2015,7,14,194,1,"NIWO_001E",0
"9","NIWO_001","E",2015-07-14,"Amara erratica",0,2015,7,14,194,1,"NIWO_001E",0
"10","NIWO_001","E",2015-07-14,"Amara idahoana",0,2015,7,14,194,1,"NIWO_001E",0
"11","NIWO_001","E",2015-07-14,"Amara lindrothi",0,2015,7,14,194,1,"NIWO_001E",0
"12","NIWO_001","E",2015-07-14,"Amara quenseli",0,2015,7,14,194,1,"NIWO_001E",0
"13","NIWO_001","E",2015-07-14,"Amara quenseli quenseli",0,2015,7,14,194,1,"NIWO_001E",0
"14","NIWO_001","E",2015-07-14,"Amara sinuosa",0,2015,7,14,194,1,"NIWO_001E",0
"15","NIWO_001","E",2015-07-14,"Amara sp.",0,2015,7,14,194,1,"NIWO_001E",0
"16","NIWO_001","E",2015-07-14,"Anisodactylus carbonarius",0,2015,7,14,194,1,"NIWO_001E",0
"17","NIWO_001","E",2015-07-14,"Anisodactylus rusticus",0,2015,7,14,194,1,"NIWO_001E",0
"18","NIWO_001","E",2015-07-14,"Bembidion breve",0,2015,7,14,194,1,"NIWO_001E",0
"19","NIWO_001","E",2015-07-14,"Bembidion rapidum",0,2015,7,14,194,1,"NIWO_001E",0
"20","NIWO_001","E",2015-07-14,"Bembidion sp.",0,2015,7,14,194,1,"NIWO_001E",0
"21","NIWO_001","E",2015-07-14,"Calathus advena",2,2015,7,14,194,1,"NIWO_001E",1
"22","NIWO_001","E",2015-07-14,"Calathus ingratus",0,2015,7,14,194,1,"NIWO_001E",0
"23","NIWO_001","E",2015-07-14,"Carabidae sp.",0,2015,7,14,194,1,"NIWO_001E",0
"24","NIWO_001","E",2015-07-14,"Carabidae spp.",0,2015,7,14,194,1,"NIWO_001E",0
"25","NIWO_001","E",2015-07-14,"Carabus taedatus",0,2015,7,14,194,1,"NIWO_001E",0
"26","NIWO_001","E",2015-07-14,"Chlaenius tomentosus",0,2015,7,14,194,1,"NIWO_001E",0
"27","NIWO_001","E",2015-07-14,"Cicindela longilabris",0,2015,7,14,194,1,"NIWO_001E",0
"28","NIWO_001","E",2015-07-14,"Cicindela punctulata",0,2015,7,14,194,1,"NIWO_001E",0
"29","NIWO_001","E",2015-07-14,"Cymindis borealis",0,2015,7,14,194,1,"NIWO_001E",0
"30","NIWO_001","E",2015-07-14,"Cymindis cribricollis",0,2015,7,14,194,1,"NIWO_001E",0
"31","NIWO_001","E",2015-07-14,"Cymindis unicolor",0,2015,7,14,194,1,"NIWO_001E",0
"32","NIWO_001","E",2015-07-14,"Discoderus parallelus",0,2015,7,14,194,1,"NIWO_001E",0
"33","NIWO_001","E",2015-07-14,"Harpalus animosus",0,2015,7,14,194,1,"NIWO_001E",0
"34","NIWO_001","E",2015-07-14,"Harpalus desertus",0,2015,7,14,194,1,"NIWO_001E",0
"35","NIWO_001","E",2015-07-14,"Harpalus nigritarsis",0,2015,7,14,194,1,"NIWO_001E",0
"36","NIWO_001","E",2015-07-14,"Harpalus paratus",0,2015,7,14,194,1,"NIWO_001E",0
"37","NIWO_001","E",2015-07-14,"Harpalus sp.",0,2015,7,14,194,1,"NIWO_001E",0
"38","NIWO_001","E",2015-07-14,"Nebria trifaria",0,2015,7,14,194,1,"NIWO_001E",0
"39","NIWO_001","E",2015-07-14,"Notiophilus aquaticus",0,2015,7,14,194,1,"NIWO_001E",0
"40","NIWO_001","E",2015-07-14,"Notiophilus directus",1,2015,7,14,194,1,"NIWO_001E",1
"41","NIWO_001","E",2015-07-14,"Pterostichus adstrictus",0,2015,7,14,194,1,"NIWO_001E",0
"42","NIWO_001","E",2015-07-14,"Pterostichus restrictus",0,2015,7,14,194,1,"NIWO_001E",0
"43","NIWO_001","E",2015-07-14,"Pterostichus sp.",0,2015,7,14,194,1,"NIWO_001E",0
"44","NIWO_001","E",2015-07-14,"Selenophorus planipennis",0,2015,7,14,194,1,"NIWO_001E",0
"45","NIWO_001","E",2015-07-14,"Sericoda sp.",0,2015,7,14,194,1,"NIWO_001E",0
"46","NIWO_001","E",2015-07-14,"Syntomus americanus",0,2015,7,14,194,1,"NIWO_001E",0
"47","NIWO_001","E",2015-07-28,"Acupalpus partiarius",0,2015,7,28,208,2,"NIWO_001E",0
"48","NIWO_001","E",2015-07-28,"Agonoleptus conjunctus",0,2015,7,28,208,2,"NIWO_001E",0
"49","NIWO_001","E",2015-07-28,"Agonum placidum",0,2015,7,28,208,2,"NIWO_001E",0
"50","NIWO_001","E",2015-07-28,"Amara (Celia) sp.",0,2015,7,28,208,2,"NIWO_001E",0
"51","NIWO_001","E",2015-07-28,"Amara (Curtonotus) sp.",0,2015,7,28,208,2,"NIWO_001E",0
